Light Source:,LAV2-SW,,,,
Filter:,"Tricolor 457 +/- 22 nm, 530 +/- 20 nm, 628 +/- 28 nm",,,,
Camera:,"IDS USB 3.0 Camera, Model UI-3060CPC",,,,
Wavelength (nm),Relative Light Intensity (fraction),Light Filter (fraction),Relative Camera Sensitivity for Red (fraction),Relative Camera Sensitivity for Green (fraction),Relative Camera Sensitivity for Blue (fraction)
400,0,0,0.076774541,0.053952907,0.348770429
400.1,0,0,0.076518642,0.053821813,0.349944166
400.2,0,0,0.076265302,0.053690401,0.351106715
400.3,0,0,0.076014719,0.053558673,0.352257338
400.4,0,0,0.075767091,0.053426631,0.353395296
400.5,0,0,0.075522616,0.053294276,0.354519851
400.6,0,0,0.075281491,0.053161609,0.355630265
400.7,0,0,0.075043914,0.053028634,0.356725799
400.8,0,0,0.074810084,0.05289535,0.357805716
400.9,0,0,0.074580198,0.05276176,0.358869276
401,0,0,0.074354454,0.052627866,0.359915742
401.1,0,0,0.07413305,0.052493669,0.360944375
401.2,0,0,0.073916184,0.052359171,0.361954896
401.3,0,0,0.073704054,0.052224374,0.362948588
401.4,0,0,0.073496857,0.052089279,0.363926781
401.5,0,0,0.073294792,0.051953888,0.364890791
401.6,0,0,0.073098056,0.051818203,0.365841936
401.7,0,0,0.072906847,0.051682224,0.366781533
401.8,0,0,0.072721364,0.051545955,0.367710901
401.9,0,0,0.072541629,0.051409397,0.368631356
402,0,0,0.072366746,0.051272551,0.369544216
402.1,0,0,0.072196352,0.051135419,0.370450798
402.2,0,0,0.072030201,0.050998002,0.37135242
402.3,0,0,0.071868046,0.050859586,0.3722504
402.4,0,0,0.071709642,0.050719664,0.373146054
402.5,0,0,0.071554743,0.050578392,0.374040701
402.6,0,0,0.071403102,0.050435925,0.374935658
402.7,0,0,0.071254473,0.050292419,0.375832241
402.8,0,0,0.071108609,0.050148028,0.376731366
402.9,0,0,0.070965266,0.050002909,0.377626803
403,0,0,0.070824196,0.049857217,0.378516451
403.1,0,0,0.070685154,0.049711107,0.379400874
403.2,0,0,0.070547893,0.049564735,0.380280637
403.3,0,0,0.070412167,0.049418257,0.381156304
403.4,0,0,0.070277731,0.049271827,0.38202844
403.5,0,0,0.070144337,0.049125602,0.38289761
403.6,0,0,0.07001174,0.048979737,0.383764377
403.7,0,0,0.069879694,0.048834386,0.384629308
403.8,0,0,0.069747952,0.048689707,0.385492965
403.9,0,0,0.069616268,0.048545854,0.386355914
404,0,0,0.069484397,0.048402982,0.38721872
404.1,0,0,0.069352092,0.048261248,0.388081946
404.2,0,0,0.069219106,0.048120806,0.388946158
404.3,0,0,0.069085194,0.047981813,0.38981192
404.4,0,0,0.06895011,0.047844423,0.390679796
